Name,Team,Age,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Location+,F-Strike%,K-BB%,Location+,PlayerId,MLBAMID
Gabe Speier,SEA,30,62,112.17373786407768,108.90698529411762,,,118.05949367088608,,,,,107.43845819761125,0.69135802,0.29218107,107.43845819761125,17170,642100
Robert Suarez,SDP,34,69.2,114.79003076923078,117.07113772455084,87.66,,,,105.82350194552528,,,107.34783177570091,0.65427509,0.21933086,107.34783177570091,30115,663158
David Bednar,- - -,30,62.2,111.58384955752214,,,100.67502487562187,135.72,101.22226415094342,,,,107.2371875,0.62549801,0.26693227,107.2371875,19569,670280
Luis García,- - -,38,55.1,81.61288461538462,101.20214659685863,,99.8223,123.75489707369589,,,,,107.0380279613067,0.58798283,0.0944206,107.0380279613067,6984,472610
Tyler Alexander,- - -,30,80.1,103.87242424242423,98.21622807017542,96.89465240641711,,117.49968806582474,,87.31652173913042,,,107.01793567595557,0.63929619,0.13489736,107.01793567595557,17735,641302
Cade Smith,CLE,26,73.2,102.67008464328899,,,119.90470119521912,121.94399999999999,,,,,106.9518336162988,0.62,0.28333333,106.9518336162988,27867,671922
Mason Englert,TBR,25,44.2,95.10571428571428,97.11483333333331,97.553,,97.485,89.81746478873241,103.3816935483871,,,106.71581646423749,0.71351351,0.17837838,106.71581646423749,22288,669438
Gordon Graceffo,STL,25,43,82.05331269349847,95.69263157894736,,,98.25276381909545,106.2942564102564,91.561,,,106.5896560846561,0.65803109,0.13989637,106.5896560846561,29519,700669
Jakob Junis,CLE,32,66.2,73.12853932584268,85.68870503597124,,,111.45746170678335,,74.59786408,,,106.55930501930501,0.61678832,0.1350365,106.55930501930501,13619,596001
Trevor Megill,MIL,31,47,117.86030701754386,,,,,,,144.72208754208756,,106.3266755319149,0.66666667,0.22395833,106.3266755319149,17722,656730
Dylan Lee,ATL,30,68.1,110.53865497076013,,,,105.4634369885434,,80.89712328767125,,,106.27599271402546,0.67293233,0.23308271,106.27599271402546,19996,669276
Tyler Phillips,MIA,27,75,79.02979591836734,90.46931750741838,,104.05197278911565,108.8989121338912,102.15084337349394,,,,106.14550724637681,0.61056106,0.08580858,106.14550724637681,20629,663969
Tanner Banks,PHI,33,65.1,90.68672645739912,98.07841269841268,,,116.17971988795522,,114.91828571428572,,,105.65967132292525,0.64864865,0.18146718,105.65967132292525,16990,621383
Tyler Rogers,- - -,34,77.1,,126.97934156378601,,,130.63807228915664,,,,,105.31713803514322,0.74247492,0.13712375,105.31713803514322,15541,643511
Edwin Uceta,TBR,27,76,108.25380566801618,92.53684210526316,92.65875647668393,,115.5388888888889,,83.12703389830511,,,105.29996872556686,0.62928349,0.23676013,105.29996872556686,20539,670955
Jacob Webb,TEX,31,66,102.2171034482759,,,,90.78303921568629,,88.25651917404133,,,105.27602051282052,0.59925094,0.14606742,105.27602051282052,19274,657097
Hoby Milner,TEX,34,70.1,105.7065882352941,111.6319474,,,103.73532338308456,,102.03681592039801,,,105.22477016478753,0.63481229,0.12627986,105.22477016478753,13346,571948
